What gender do you identify with?,Which race/ethnicity best describes you?,How old are you?,Have you taken a class at the University of New Hampshire within the past 12 months?,Are you a member of Service Credit Union? (You are considered a 'member' of SCU if you have at least a savings account with a balance of $5),"If you are not a member of Service Credit Union, what is your Primary Financial Institution?",I would recommend my Primary Financial Institution to a friend or family.,I'm only with my Primary Financial Institution because of my family.,I know the difference between a Bank and a Credit Union,I have my own Checking and Savings account.,"If you have a Checking account, what is your average balance?","If you have a Savings account, what is your average balance?",I have a Credit card (NOT a Debit card).,What makes you consider a Financial Institution worthwhile?,What makes you consider a Financial Institution not worthwhile?,What are your top 2 preferences when choosing a Financial institution?,What promotions from Service Credit Union seem interesting (or worth looking into)?,"I felt comfortable with basic personal banking transactions (Basic personal banking transactions include: depositing money, withdrawing money, requesting a cashiers check, writing a check, keeping an account in good standing, understanding the features/fees of my account)."
Male,White / Caucasian,21,Yes,Yes,I don't know,Agree,Disagree,Disagree,Just a Checking,"< $1,000",No Savings,Disagree,"Low Fees, Great Customer Service/ Member Support, Convenience/ Local Branches","High Fees, Poor Customer Service/ Member Support","Low Fees, Convenience/ Local Branches","Student Checking Promotion (Free $100), 0% Interest on New Credit Cards (First 6 months), 0% Interest on Existing Credit Cards (6 months)",Agree
Female,White / Caucasian,19,Yes,Yes,I don't know,Agree,Agree,Strongly Disagree,Agree,"$501 - $1,000",Unsure,Disagree,"Word of Mouth Recommendation (family, friends), Convenience/ Local Branches","Word of Mouth Deterrent (family, friends), High Fees, Poor Brand Recognition, Poor Customer Service/ Member Support, Not Convenient/ Local Branches","Word of Mouth Recommendation (family, friends), Convenience/ Local Branches",0% Interest on New Credit Cards (First 6 months),Disagree
Female,White / Caucasian,19,Yes,Yes,Prefer Not to Say,I don't have a Financial institution,I don't have a Financial Institution,Disagree,Agree,"< $1,000","< $1,000",Disagree,"Word of Mouth Recommendation (family, friends)",Not Convenient/ Local Branches,"Great Customer/ Member Support, Convenience/ Local Branches",Student Checking Promotion (Free $100),Agree
Female,White / Caucasian,21,Yes,Yes,Prefer Not to Say,Agree,Disagree,Disagree,Agree,"$501 - $1,000","$501 - $1,000",Agree,"Word of Mouth Recommendation (family, friends), Low Fees, Great Customer Service/ Member Support, Convenience/ Local Branches","Word of Mouth Deterrent (family, friends), High Fees, Poor Brand Recognition, Poor Customer Service/ Member Support, Not Convenient/ Local Branches","Low Fees, Great Customer/ Member Support","Student Checking Promotion (Free $100), Pays2Know (Free $75 after referral), 0% Interest on New Credit Cards (First 6 months), 0% Interest on Existing Credit Cards (6 months)",Agree
Female,White / Caucasian,21,Yes,Yes,Prefer Not to Say,Agree,Disagree,Strongly Disagree,Agree,$251 - $500,"< $1,000",Agree,"Word of Mouth Recommendation (family, friends), Low Fees, Great Customer Service/ Member Support, Convenience/ Local Branches","High Fees, Poor Customer Service/ Member Support","Low Fees, Convenience/ Local Branches","Student Checking Promotion (Free $100), 0% Interest on Existing Credit Cards (6 months)",Agree
Female,White / Caucasian,19,Yes,Yes,Prefer Not to Say,Agree,Agree,Disagree,Agree,"$501 - $1,000","< $1,000",Agree,"Low Fees, Great Customer Service/ Member Support, Convenience/ Local Branches","Word of Mouth Deterrent (family, friends), High Fees, Poor Customer Service/ Member Support, Not Convenient/ Local Branches","Low Fees, Great Customer/ Member Support","Student Checking Promotion (Free $100), Pays2Know (Free $75 after referral)",Strongly Agree
Female,White / Caucasian,19,Yes,Yes,Prefer Not to Say,Agree,Agree,Agree,Agree,"< $1,000",$251 - $500,Disagree,"Word of Mouth Recommendation (family, friends)","Word of Mouth Deterrent (family, friends), Poor Advertising/ Promotions, Poor Customer Service/ Member Support","Word of Mouth Recommendation (family, friends), Great Brand Recognition",Student Checking Promotion (Free $100),Agree
Male,White / Caucasian,20,Yes,Yes,Service Credit Union,Agree,Disagree,Agree,Agree,"$501 - $1,000","< $1,000",Disagree,Unsure,Unsure,Unsure,Unsure,Unsure
Female,White / Caucasian,19,Yes,Yes,Service Credit Union,Agree,Disagree,Disagree,Agree,"$501 - $1,000","< $1,000",Agree,"Word of Mouth Recommendation (family, friends), Low Fees, Convenience/ Local Branches","Word of Mouth Deterrent (family, friends), High Fees, Poor Customer Service/ Member Support, Not Convenient/ Local Branches","Low Fees, Convenience/ Local Branches",Student Checking Promotion (Free $100),Strongly Agree
Female,Hispanic,19,Yes,Yes,Service Credit Union,Agree,Disagree,Disagree,Agree,$251 - $500,"< $1,000",Agree,"Word of Mouth Recommendation (family, friends), Great Customer Service/ Member Support, Convenience/ Local Branches","Word of Mouth Deterrent (family, friends), Poor Customer Service/ Member Support","Word of Mouth Recommendation (family, friends), Great Customer/ Member Support","Student Checking Promotion (Free $100), Pays2Know (Free $75 after referral)",Strongly Agree
